ID,台語羅馬字,台語羅馬字2,台語漢字,華語對譯,英文,freq,pos_h
50801,soah-hi3,,煞戲,;曲終人散;散場;散戲;落幕;遊戲已畢;,,2114,VH
50802,soah-ho2,,煞好,;怎好;,,2429,
50803,soah-hou5-chio,,撒胡椒,;撒;,,829,VC
50804,soa-hi5,soa-hu5,沙魚,;沙魚;梭氏蜥鮫;,,795,
50805,soa-hi5,soa-hu5,鯊魚,;鯊魚;,,742,Na
50806,soa-hi5-chhi3,soa-hu5-chhi3,鯊魚翅,;魚翅;,,883,Na
50807,soa-hi5-kiam3,soa-hu5-kiam3,鯊魚劍,;鯊魚劍;,,776,
50808,soah-kaN2,,煞敢,;豈敢;,,843,VL
50809,soah-kang,,煞工,;下工;下班;放工;,,1634,VA;VH
50810,soah-khi3,soah-khu3,煞去,;作罷;拉倒;,,2055,VR
50811,soah-khi3,,煞氣,;祟氣;,,958,
50812,soah--khi3,soah--khu3,煞去,;拉倒;擺了;,,2488,VR
50813,soah-kiam5,,soah鹽,;加鹽;,,570,
50814,soah-kiok8,,煞局,;完結;終局;結局;,,931,Na;VH
50815,soah-kou2,,煞鼓,;曲終人散;終場;散場;散戲;結束;,,2087,Na;VH
50816,soah-liau2,,煞了,;完結;,,1510,VH
50817,soah-liau2-tai7,,煞了代,;完了事;,,2374,
50818,soah-peh8-thng5,,撒白糖,;撒;,,1237,VC
50819,soah-si7,,煞是,;反倒是;那裡是;卻是;豈是;,,4876,Db
50820,soah-sim,,煞心,;死心;,,1472,VI
50821,soah-soah-khi3,soah-soah-khu3,煞煞去,;不提也罷;作罷;得了吧;算了吧;,,5328,VH
50822,soah-soah--khi3,soah-soah--khu3,煞煞去,;作罷;算了;,,2492,VH
50823,soah-taN2,,煞膽,;大膽;,,1206,VH
50824,soah-tau7-iu5,,撒豆油,;撒;,,870,VC
50825,soah-tioh8,,煞著,;中邪;反而;以至於;犯煞;何必;,,2725,Db;Cb
50826,soah--tioh8,,煞著,;犯沖;犯煞;,,1776,
50827,soah-tiuN5,,煞場,;終場;,,800,Na
50828,soah-u7,,煞有,;那有;竟有;,,4647,
50829,soai3-seng3,,率性,;率性;,,472,VH
50830,soai3-tong5,,率同,;率同;,,541,VF
50831,soaiN7,,檨,;芒果;檨;,,187,Na
50832,soaiN7-a2,,soaiN7仔,;芒果;,,1026,Na
50833,soaiN7-a2,,檨仔,;下疳;芒果;魚口;,,1345,Na
50834,soaiN7-a2-hong,,檨仔瘋,;梅毒;,,1423,Na
50835,soa-ioh8,,痧藥,;台灣馬兜鈴;,,960,
50836,soa-kai3,soa-koe3,沙疥,;乾癬;,,2715,Na
50837,soa-kap,,沙蛤,;紫貝;,,693,
50838,soa-khaN,,沙坩,;瓦鍋;坩;,,389,b
50839,soa-koe3,,沙疥,;疥瘡;,,2498,Na
50840,soa-la5,,沙蜊,;蛤蜊;蜆;,,394,Na
50841,soa-la5,,沙蟟,;蛤蜊;蟟;,,389,Na
50842,Soa-lak8,,沙鹿,;沙鹿;,,855,Nc
50843,soa-lau7,,沙漏,;沙漏;過濾池;漏;濾水器;濾器;,,1065,Na;VH
50844,soa-lau7,,砂漏,;砂漏;,,323,
50845,soa-liap8,,砂粒,;砂眼;,,510,Na
50846,soa-liu,,沙鰍,;中華花鰍;花鰍;,,839,
50847,soa-lo5-chhiu7,,沙羅樹,;娑羅樹;,,3093,
50848,soa-loa7,,沙瀨,;瀨;,,357,b
50849,soa-long5,,沙龍,;沙龍;,,751,Nc
50850,soa-lou5,,沙鱸,;金目鱸;,,458,
50851,soa-lou7,,沙鷺,;沼鷺;,,450,
50852,soa-lun7,,沙崙,;沙丘;,,397,Na
50853,soa-mng5,,沙毛,;鰻鯰;,,488,
50854,soa-mng5,,沙門,;沙門;,,761,Na
50855,soa-mng5,,紗門,;紗門;,,664,Na
50856,soan,,soan,;宛轉蔓生;開溜;溜走;,,1431,VA
50857,soaN,,山,;山;,,816,Na
50858,soan,,訕,;訕;譏諷;,,317,VC;b
50859,soan,,旋,;溜;,,471,VA
50860,soan,,酸,;酸;,,503,VH
50861,soaN2,,散,;散;,,306,VC;VH
50862,soan2,,選,;選;,,326,VC
50863,soan2-bi2,,選美,;選美;,,963,VA
50864,soan2-bin5,,選民,;選民;,,579,Na
50865,soan2-bu7,,選務,;選務;,,361,Na
50866,soaN2-cheng2,,散種,;野生種;,,991,
50867,soaN2-chhap,,散插,;錯落;,,556,VH
50868,soan2-chhiu2,,選手,;選手;,,880,Na
50869,soan2-chhu2,,選取,;選取;,,453,VC
50870,soan2-chhut,,選出,;選出;,,980,VR
50871,soan2-chi2,chan3-chi2,拶指,;拶指;,,559,
50872,soaN2-chiam,,散占,;占;,,286,VC
50873,soaN2-chiam-soaN2-kak,,散占散角,;零錢;,,783,Na
50874,soan2-chip8,,選集,;選集;,,431,Na
50875,soaN2-ia7-ia7,,散掖掖,;散落;零零散散;,,621,VH
50876,soan2-iong7,,選用,;選用;,,1422,VC
50877,soaN2-kak,,散角,;毛票;,,456,
50878,soaN2-kau2,,散狗,;流浪狗;野犬;野狗;,,907,Na
50879,soaN2-khia7,,散khia7,;散居;,,387,VH
50880,soan2-kho3,,選課,;選課;,,692,VA
50881,soan2-khu,,選區,;選區;,,401,Nc
50882,soan2-ki2,soan2-ku2,選舉,;選舉;,,794,VC
50883,soan2-ki2-khu,soan2-ku2-khu,選舉區,;選舉區;,,903,Nc
50884,soan2-ki2-koan5,soan2-ku2-koan5,選舉權,;選舉權;,,982,Na
50885,soan2-ki2-lang5,soan2-ku2-lang5,選舉人,;選舉人;,,3425,Na
50886,soan2-kou3,,選購,;選購;,,431,VC
50887,soaN2-niau,,散貓,;野貓;,,431,Na
50888,soan2-pa7-hoat,,選罷法,;選罷法;,,644,Na
50889,soaN2-pang5,,產房,;月房;,,416,
50890,soan2-phai3,,選派,;選派;,,391,VF
50891,soan2-phio3,,選票,;選票;,,323,Na
50892,soan2-poat8,,選拔,;選拔;,,440,VC
50893,soan2-siu,,選修,;選修;,,497,VC
50894,soaN2-soaN2,,散散,;花花搭搭;疏落;散落;零星;零散;,,782,VH
50895,soan2-tek8,,選擇,;選擇;,,702,VC
50896,soan2-tek8-te5,soan2-tek8-toe5,選擇題,;選擇題;,,994,Na
50897,soan2-teng7,,選定,;選定;,,576,VF
50898,soaN2-than3,,散趁,;零錢;,,539,Na
50899,soan2-thok8,,選讀,;選讀;,,780,VC
50900,soan2--tioh8,,選著,;獲選;,,1428,VC
50901,soaN3,,傘,;傘;,,169,Na
50902,soaN3,,散,;散;,,325,VC;VH
50903,soaN3,,腺,;腺;,,146,Na
50904,soan3,,算,;算;,,476,VG;VE
50905,soaN3,,線,;線;,,345,Na
50906,soan3-a2,,蒜仔,;大蒜;,,1352,Na
50907,soan3-a2-chai,,蒜仔栽,;蒜苗;,,992,Na
50908,soan3-a2-kut,,蒜仔骨,;骨;,,1001,b
50909,soaN3-be7,soaN3-boe7,散賣,;單賣;零售;零賣;,,1087,VC
50910,soaN3-bin5,,線民,;線民;,,568,Na
50911,soan3-boah8,,蒜末,;蒜泥;,,257,Na
50912,soaN3-boe2-khoe5,,散尾葵,;黃椰子;,,1006,
50913,soaN3-chhau,,散操,;下操;,,513,
50914,soaN3-chhi7,,散市,;休市;,,404,
50915,soaN3-chhiu,,線鬚,;流蘇;,,457,Na
50916,soaN3-chng,,散裝,;散裝;,,568,A
50917,soaN3-chng-chheh,,線裝冊,;線裝書;,,1027,Na
50918,soaN3-choe7,,線綴,;針腳;,,576,Na
50919,soaN3-go5,,線遨,;拐子;,,546,Na
50920,soaN3-heng5,,散形,;散漫;懶散;,,490,VH
50921,soaN3-heng5,,散雄,;懶散;,,506,VH
50922,soaN3-heng5,,線形,;線形;,,475,Na
50923,soan3-hiong-tin5,,蒜香藤,;蒜香藤;,,726,
50924,soaN3-hoat,,散發,;野生;,,664,A
50925,soaN3-hoe7,,散會,;散會;,,2338,VH
50926,soaN3-hoeh-chhau2,soaN3-huih-chhau2,散血草,;散血草;,,856,
50927,soaN3-ia7-ia7,,散掖掖,;一片狼籍;一片零亂;零零散散;,,1676,
50928,soaN3-ia7-kui2,,散掖鬼,;孤魂野鬼;遊魂;,,1446,Na
50929,soaN3-ian5,,散鉛,;散彈;,,408,
50930,soaN3-in,,線絪,;絡子;線捲;,,822,Na
50931,soaN3-in-a2,,線絪仔,;恍子;,,1518,
50932,soaN3-ji2-a2,,散子仔,;散彈;,,1415,
50933,soan3-jiong5,,蒜絨,;蒜泥;,,172,Na
50934,soan3-jiong5-ki,,蒜絨枝,;麻花;,,664,Na
50935,soaN3-kang,,散工,;下工;下班;放工;散工;零工;臨時工;,,1607,VA;Na;VH
50936,soaN3-kau,,散交,;絕交;,,602,VA
50937,soaN3-kha,,線腳,;線腳;,,1074,
50938,soaN3-khi3,soaN3-khu3,散去,;散去;,,2040,VR
50939,soaN3-khui,,散開,;散開;,,814,VH
50940,soaN3-koan2,,散館,;封館;閉館;,,410,
50941,soaN3-kou2,,散股,;拆夥;,,407,VA
50942,soaN3-lak-lak,,散落落,;零零散散;,,833,
50943,soaN3-liau2-liau2,,散了了,;瓦解;解體;,,957,VB;VH
50944,soan3-liong5,,蒜絨,;絨;蒜泥;,,356,Na;b
50945,soan3-liong5-ki,,蒜絨枝,;麻花;,,903,Na
50946,soaN3-lou7,,線路,;線路;,,899,Na
50947,soaN3-oh8,,散學,;放學;,,1538,VH
50948,soaN3-peng,,傘兵,;傘兵;,,310,Na
50949,soaN3-phio3,,散票,;散票;零鈔;,,345,
50950,soaN3-phong2-phong2,,散滂滂,;一片狼籍;,,1332,
50951,soaN3-phong7-phong7,,散蓬蓬,;零亂;雜亂無章;,,865,VH
50952,soaN3-phun2-phun2,,散翸翸,;一片狼籍;,,1320,
50953,soaN3-pou7,,線步,;針腳;線腳;,,738,Na
50954,soaN3-saN,,線衫,;線衣;,,1801,
50955,soaN3-sian,,散仙,;散漫;懶散;,,608,VH
50956,soaN3-siang7,soaN3-siong7,線上,;線上;,,1824,Nc
50957,soaN3-sim-chha5,,線心柴,;楠木;,,990,
50958,soaN3-soaN3,,散散,;吊兒郎當;懶散;,,574,VH
50959,soaN3-soh,,線索,;線索;,,418,Na
50960,soaN3-tau2,,散斗,;拆伙;散伙;拆夥;散夥;解散;,,562,VA;VH
50961,SoaN3-thau5,,汕頭,;汕頭;,,1025,Nc
50962,soan3-thau5,,蒜頭,;蒜頭;,,1019,Na
50963,soaN3-thau5,,線頭,;線頭;,,1171,Na
50964,soaN3-thoaN,,散攤,;流水席;,,540,Na
50965,soaN3-tiau5,,線條,;線條;,,686,Na
50966,soaN3-tin7,,散陣,;拆伙;拆夥;解散;,,619,VA
50967,soaN3-tiuN5,,散場,;散場;,,491,VH
50968,soaN3-to7,,線道,;線道;,,698,Na
50969,soaN3-toaN5,,霰彈,;霰彈;,,262,Na
50970,soan5,,旋,;旋;,,265,Dd;b
50971,soan5-bo7,,船帽,;船形帽;,,512,
50972,soan5-liu,,旋鰍,;泥鰍;,,345,Na
50973,soan5-liu-kou2,,旋鰍古,;泥鰍;,,656,Na
50974,soan5-lut8,,旋律,;旋律;,,325,Na
50975,soan7,,訕,;罵;,,243,VC
50976,soan7,,喧,;用粗話罵;,,960,
50977,soan7,,羨,;羨;,,150,b
50978,soan7,,鏇,;鑽石;,,343,Na
50979,soan7-a2,,鏇仔,;鑽石;,,1088,Na
50980,soan7-chi-chha5,,檨梔柴,;烏木;,,590,Na
50981,soan7-chioh8,,鏇石,;金剛石;金鋼石;鑽石;,,785,Na
50982,soan7-chioh8-chhiu2-chi2,,鏇石手指,;鑽戒;,,1278,Na
50983,soan7-chioh8-chhui3,,鏇石嘴,;口若懸河;如簧之舌;舌燦蓮花;油腔滑調;花言巧語;能言善道;口齒伶利;,,2132,VA;Na;VH
50984,soan7-chui2,,漩水,;澆水;,,981,
50985,soan7-hong,,旋風,;旋風;,,1259,Na
50986,soan7-jio7,,soan7尿,;撒尿;小便;,,626,VA
50987,soan7-pit,,鏇筆,;鋼筆;,,297,Na
50988,soan7-su7-pou7,,銓敘部,;銓敘部;,,800,Nc
50989,soan7-thang2,,漩桶,;噴桶;,,300,
50990,soan7-to3-tng2,,訕倒轉,;反唇相譏;,,1086,VA
50991,soan7-tuh-tuh,,sian7-tuh-tuh,;厭倦;懶洋洋;,,435,VJ;VH
50992,soaN-a2,,山仔,;山崗子;,,1466,
50993,soaN-ang5-cho2,,山紅棗,;台灣地榆;,,1495,
50994,soaN-ang5-khi7,,山紅柿,;山紅柿;,,1203,
50995,soaN-au7-chiau2,,山後鳥,;灰面鷲;,,2380,
50996,soaN-bah-tau7,,山肉豆,;山葛藤;,,979,
50997,soaN-bang,,山芒,;芒箕骨;,,572,
50998,soaN-be2-chi5,soaN-be2-chu5,山馬薯,;牛尾菜;,,2143,
50999,soaN-be2-hi5,soaN-be2-hu5,山瑪魚,;秋刀魚;,,1186,
51000,soaN-be2-te5,,山馬蹄,;羅芙木;,,1953,
51001,soaN-bi7,,山味,;野味;,,697,Na
51002,soaN-bo2,soaN-bu2,山母,;山岳;山峰;母x;,,1171,Na
51003,soan-bo7,,宣帽,;宣帽;,,465,
51004,soaN-boe2,soaN-be2,山尾,;山峰;,,1249,Na
51005,soaN-boe2-chiam,soaN-be2-chiam,山尾尖,;山峰;,,1439,Na
51006,soaN-boe2-liu,,山尾溜,;山峰;頂峰;山頂;山巔;,,1399,Nc;Na
51007,soaN-bou5,,山霧,;山嵐;,,702,Na
51008,soaN-bu7,,山霧,;山嵐;,,717,Na
51009,soaN-bun5-bo2,soaN-bun5-bu2,山蚊母,;台灣夜鷹;,,2022,
51010,soaN-chang,,山棕,;山棕;棕櫚;,,617,Na
51011,soaN-chang-niau,,山棕貓,;食蟹蒙;,,781,
51012,soaN-che7,,山寨,;山寨;,,793,Na
51013,soaN-chhai3-tau7,,山菜豆,;山菜豆;,,967,
51014,soaN-chham5,,山蠶,;野蠶;,,550,
